2453,00;26800,0;93,58;3997,74 
2396,00;25530,0;91,97;4012,26 
2429,00;25680,0;91,85;4045,83 
2385,00;25100,0;91,16;4093,04 
2421,00;25900,0;91,79;4089,46 
2416,00;25900,0;91,25;4089,46 
2370,00;27260,0;90,42;4063,36 
2385,00;27480,0;89,98;4099,20 
2357,00;27200,0;87,29;4085,33 
2440,00;27980,0;86,62;4110,08 
2390,00;28120,0;86,37;4111,52 
2310,00;28100,0;85,42;4076,90 
2304,00;27680,0;84,07;4085,89 
2310,00;27820,0;83,94;4120,07 
2324,00;27730,0;84,70;4120,07 
2324,00;27970,0;85,44;4124,04 
2330,00;27830,0;85,92;4093,96 
2297,00;28100,0;85,24;4130,33 
2307,00;28280,0;84,49;4096,08 
2265,00;27530,0;86,28;4029,95 
2275,00;28130,0;87,40;3973,41 
2300,00;27940,0;87,93;3955,23 
2270,00;28390,0;87,44;4031,65 
2284,00;29400,0;89,31;4076,46 
2365,00;29810,0;88,00;4076,46 
2365,00;29810,0;86,47;4077,90 
2295,00;29760,0;87,38;4144,79 
2330,00;29960,0;86,19;4056,99 
2270,00;29210,0;84,01;4007,44 
2290,00;30000,0;85,34;3898,48 
2292,00;29940,0;85,22;3923,49 
2206,00;29360,0;84,49;3932,04 
2199,00;29450,0;84,28;3951,10 
2224,00;29280,0;82,98;3978,83 
2243,00;29380,0;83,46;3950,58 
2219,00;29400,0;82,53;3971,38 
2192,00;29350,0;81,06;3980,20 
2192,00;29350,0;79,62;3991,15 
2181,00;29780,0;79,38;4069,39 
2186,00;29600,0;79,54;4089,30 
2166,00;29300,0;77,80;4102,13 
2167,00;29250,0;79,90;4128,67 
2167,00;29390,0;81,31;4193,59 
2167,00;28460,0;80,35;4154,06 
2214,0;28300,0;79,54;4189,96 
2157,0;27790,0;77,83;4195,93 
2160,0;27730,0;78,77;4128,08 
2130,0;27140,0;76,72;4177,58 
2137,0;27140,0;76,74;4177,58 
2137,0;27830,0;76,23;4177,58 
2137,0;27830,0;74,52;4177,58 
2140,0;27990,0;74,51;4191,28 
2153,0;27730,0;73,86;4169,60 
2150,0;27600,0;73,64;4152,48 
2140,0;27300,0;71,88;4172,33 
2185,0;28000,0;73,86;4168,88 
2140,0;27760,0;73,56;4114,39 
2148,0;27880,0;73,93;4158,21 
2185,0;28510,0;76,92;4149,18 
2134,0;28420,0;75,79;4145,72 
